ID, VUR, device
"374","0.5000", smartphone
"376","0.0000", smartphone
"377","1.0000", smartphone
"378","0.5000", smartphone
"380","1.0000", smartphone
"381","0.5000", smartphone
"382","1.0000", smartphone
"383","0.5000", smartphone
"384","1.0000", smartphone
"385","0.0000", smartphone
"387","0.0000", smartphone
"388","0.5000", smartphone
"390","1.0000", smartphone
"391","0.5000", smartphone
"392","0.0000", smartphone
"393","1.0000", smartphone
"396","0.5000", smartphone
"398","0.5000", smartphone
"399","0.0000", smartphone
"400","0.5000", smartphone
"401","0.5000", smartphone
"406","0.0000", smartphone
"407","0.5000", smartphone
"409","0.5000", smartphone
"410","0.0000", smartphone
"412","0.0000", smartphone
"413","0.5000", smartphone
"415","0.5000", smartphone
"416","0.5000", smartphone
"417","0.0000", smartphone
"418","0.5000", smartphone
"419","0.0000", smartphone
"421","0.5000", smartphone
"423","1.0000", smartphone
"425","0.5000", smartphone
"427","1.0000", smartphone
"428","0.5000", smartphone
"429","0.5000", smartphone
"430","0.0000", smartphone
"431","1.0000", smartphone
"432","0.0000", smartphone
"433","0.0000", smartphone
"436","0.5000", smartphone
"439","1.0000", smartphone
"440","0.5000", smartphone
"442","0.0000", smartphone
"444","1.0000", smartphone
"445","0.5000", smartphone
"446","1.0000", smartphone
"447","1.0000", smartphone
"448","0.0000", smartphone
"449","0.5000", smartphone
"450","1.0000", smartphone
"451","0.5000", smartphone
"455","1.0000", smartphone
"456","0.5000", smartphone
"457","0.5000", smartphone
"458","0.5000", smartphone
"460","1.0000", smartphone
"461","1.0000", smartphone
"462","0.0000", smartphone
"463","1.0000", smartphone
"464","0.5000", smartphone
"465","1.0000", smartphone
"466","0.5000", smartphone
"467","1.0000", smartphone
"468","1.0000", smartphone
"469","0.0000", smartphone
"470","0.5000", smartphone
"471","0.0000", smartphone
"472","0.5000", smartphone
"473","0.5000", smartphone
"475","0.5000", smartphone
"476","0.5000", smartphone
"479","0.0000", smartphone
"480","0.5000", smartphone
"481","0.5000", smartphone
"483","1.0000", smartphone
"484","0.5000", smartphone
"485","0.5000", smartphone
"486","0.0000", smartphone
"488","0.5000", smartphone
"489","1.0000", smartphone
"490","0.0000", smartphone
"491","0.5000", smartphone
"492","0.5000", smartphone
"494","0.5000", smartphone
"495","0.5000", smartphone
"496","0.0000", smartphone
"497","1.0000", smartphone
"498","1.0000", smartphone
"499","0.0000", smartphone
"500","0.5000", smartphone
"501","0.0000", smartphone
"502","0.5000", smartphone
"503","0.5000", smartphone
"504","0.0000", smartphone
"505","1.0000", smartphone
"507","0.5000", smartphone
"508","1.0000", smartphone
"510","0.5000", smartphone
"512","0.5000", smartphone
"513","0.0000", smartphone
"515","0.5000", smartphone
"517","0.5000", smartphone
"518","0.5000", smartphone
"519","0.5000", smartphone
"521","0.5000", smartphone
"525","0.0000", smartphone
"526","0.5000", smartphone
"527","0.0000", smartphone
"529","1.0000", smartphone
"531","0.5000", smartphone
"532","0.0000", smartphone
"536","0.5000", smartphone
"538","0.5000", smartphone
"540","0.5000", smartphone
"541","1.0000", smartphone
"542","0.5000", smartphone
"543","0.5000", smartphone
"544","1.0000", smartphone
"545","0.5000", smartphone
"546","0.5000", smartphone
"547","0.5000", smartphone
"549","1.0000", smartphone
"550","0.0000", smartphone
"556","0.0000", smartphone
"557","0.5000", smartphone
"558","0.0000", smartphone
"559","0.0000", smartphone
"560","0.5000", smartphone
"561","0.5000", smartphone
"562","1.0000", smartphone
"563","1.0000", smartphone
"564","1.0000", smartphone
"565","1.0000", smartphone
"566","0.0000", smartphone
"568","0.5000", smartphone
"569","1.0000", smartphone
"570","0.0000", smartphone
"571","0.0000", smartphone
"573","1.0000", smartphone
"574","0.0000", smartphone
"575","0.5000", smartphone
"576","0.5000", smartphone
"577","0.5000", smartphone
"578","0.5000", smartphone
"579","0.0000", smartphone
"580","1.0000", smartphone
"581","0.0000", smartphone
"582","0.0000", smartphone
"583","0.0000", smartphone
"587","0.5000", smartphone
"588","0.5000", smartphone
"589","0.0000", smartphone
"590","1.0000", smartphone
"591","0.0000", smartphone
"592","0.0000", smartphone
"593","0.5000", smartphone
"595","0.0000", smartphone
"596","0.0000", smartphone
"597","0.5000", smartphone
"599","0.0000", smartphone
"601","0.5000", smartphone
"602","1.0000", smartphone
"603","0.5000", smartphone
"604","1.0000", smartphone
"605","0.0000", smartphone
"606","0.5000", smartphone
"607","1.0000", smartphone
"608","0.0000", smartphone
"610","0.5000", smartphone
"611","0.0000", smartphone
"612","0.5000", smartphone
"613","0.0000", smartphone
"614","0.0000", smartphone
"616","0.5000", smartphone
"617","0.5000", smartphone
"619","0.5000", smartphone
"620","0.5000", smartphone
"621","0.0000", smartphone
"622","0.0000", smartphone
"623","0.5000", smartphone
"625","0.0000", smartphone
"626","0.5000", smartphone
"628","0.5000", smartphone
"630","1.0000", smartphone
"631","0.5000", smartphone
"632","0.5000", smartphone
"633","0.0000", smartphone
"634","0.5000", smartphone
"635","1.0000", smartphone
"636","0.0000", smartphone
"637","1.0000", smartphone
"638","1.0000", smartphone
"639","0.5000", smartphone
"640","1.0000", smartphone
"642","1.0000", smartphone
"644","0.5000", smartphone
"646","0.0000", smartphone
"647","1.0000", smartphone
"649","1.0000", smartphone
"650","0.5000", smartphone
"651","1.0000", smartphone
"652","1.0000", smartphone
"653","0.0000", smartphone
"655","0.5000", smartphone
"656","0.0000", smartphone
"658","0.5000", smartphone
"659","0.5000", smartphone
"660","0.5000", smartphone
"661","0.5000", smartphone
"662","1.0000", smartphone
"663","0.0000", smartphone
"664","0.5000", smartphone
"666","0.5000", smartphone
"668","0.5000", smartphone
"669","0.5000", smartphone
"671","1.0000", smartphone
"673","0.5000", smartphone
"674","1.0000", smartphone
"675","0.5000", smartphone
"676","1.0000", smartphone
"677","0.5000", smartphone
"678","1.0000", smartphone
"679","0.5000", smartphone
"681","0.5000", smartphone
"682","0.5000", smartphone
"684","1.0000", smartphone
"685","0.5000", smartphone
"686","0.0000", smartphone
"687","1.0000", smartphone
"690","0.5000", smartphone
"692","1.0000", smartphone
"693","0.5000", smartphone
"694","0.5000", smartphone
"695","0.0000", smartphone
"696","1.0000", smartphone
"698","0.5000", smartphone
"699","0.5000", smartphone
"700","1.0000", smartphone
"701","0.5000", smartphone
"702","0.5000", smartphone
"705","0.5000", smartphone
"706","1.0000", smartphone
"711","0.0000", smartphone
"715","1.0000", smartphone
"716","0.0000", smartphone
"718","1.0000", smartphone
"721","0.5000", smartphone
"722","0.5000", smartphone
"724","0.5000", smartphone
"726","0.0000", smartphone
"727","0.0000", smartphone
"728","0.5000", smartphone
"729","0.5000", smartphone
"730","0.5000", smartphone
"731","0.0000", smartphone
"733","0.0000", smartphone
"735","1.0000", smartphone
"736","0.5000", smartphone
"737","1.0000", smartphone
"739","0.0000", smartphone
"740","0.5000", smartphone
"741","0.0000", smartphone
"743","0.0000", smartphone
"744","0.5000", smartphone
"745","1.0000", smartphone
"746","0.5000", smartphone
"747","0.5000", smartphone
"748","0.5000", smartphone
"749","0.0000", smartphone
"751","0.5000", smartphone
"752","0.5000", smartphone
"754","0.5000", smartphone
"757","0.5000", smartphone
"758","0.0000", smartphone
"759","0.0000", smartphone
"760","1.0000", smartphone
"761","1.0000", smartphone
"763","0.5000", smartphone
"765","1.0000", smartphone
"766","0.0000", smartphone
"767","0.5000", smartphone
"768","0.0000", smartphone
"769","0.5000", smartphone
"770","0.0000", smartphone
"771","1.0000", smartphone
"772","1.0000", smartphone
"774","1.0000", smartphone
"778","0.5000", smartphone
"779","0.5000", smartphone
"780","1.0000", smartphone
"781","1.0000", smartphone
"782","1.0000", smartphone
"783","1.0000", smartphone
"784","0.5000", smartphone
"785","0.5000", smartphone
"786","0.5000", smartphone
"787","0.0000", smartphone
"788","1.0000", smartphone
"789","0.5000", smartphone
"791","0.0000", smartphone
"792","1.0000", smartphone
"793","1.0000", smartphone
"795","0.5000", smartphone
"796","0.5000", smartphone
"797","0.5000", smartphone
"799","0.5000", smartphone
"802","0.5000", smartphone
"803","0.0000", smartphone
"808","0.0000", smartphone
"811","1.0000", smartphone
"813","1.0000", smartphone
"814","0.0000", smartphone
"816","0.5000", smartphone
"817","0.5000", smartphone
"818","0.0000", smartphone
"820","1.0000", smartphone
"822","0.5000", smartphone
"823","1.0000", smartphone
"824","0.5000", smartphone
"825","0.0000", smartphone
"826","0.5000", smartphone
"827","0.0000", smartphone
"828","0.5000", smartphone
"829","1.0000", smartphone
"831","0.5000", smartphone
"832","0.5000", smartphone
