participantID, age, gender, education, IUIPC, ownership, data, device, recipient, likert
431, 32, Female, Masters, 53, No, " your gender ", cubetastic3000, friends, 1 
431, 32, Female, Masters, 53, No, " your gender ", cubetastic3000, work, 1 
431, 32, Female, Masters, 53, No, " what medical conditions you have ", cubetastic3000, friends, 5 
431, 32, Female, Masters, 53, No, " when you are busy or interruptible ", cubetastic3000, public, 3 
431, 32, Female, Masters, 53, No, " what television shows you watch ", cubetastic3000, public, 2 
431, 32, Female, Masters, 53, No, " what products you buy ", cubetastic3000, appserver, 4 
510, 19, Male, Somecollege, 58, No, "connected to a bluetooth device", smartphone, noone, 2 
510, 19, Male, Somecollege, 58, No, "sent premium texts or calls", smartphone, noone, 5 
510, 19, Male, Somecollege, 58, No, " the language you were speaking ", cubetastic3000, friends, 4 
510, 19, Male, Somecollege, 58, No, " the language you were speaking ", cubetastic3000, appserver, 4 
510, 19, Male, Somecollege, 58, No, " scanned your eye to learn your eye patterns (for eye tracking) ", cubetastic3000, appserver, 2 
510, 19, Male, Somecollege, 58, No, " who you were spending time with ", cubetastic3000, work, 4 
510, 19, Male, Somecollege, 58, No, " who you were spending time with ", cubetastic3000, public, 4 
510, 19, Male, Somecollege, 58, No, " where you are very accurately (more than GPS, like where you are in a room) ", cubetastic3000, work, 5 
2220, 21, Female, Somecollege, 40, No, "vibration", smartphone, noone, 1 
2220, 21, Female, Somecollege, 40, No, "sent premium texts or calls", smartphone, noone, 5 
2220, 21, Female, Somecollege, 40, No, " when, how much, and what you are eating ", cubetastic3000, work, 5 
2220, 21, Female, Somecollege, 40, No, " recorded your work conversations ", cubetastic3000, appserver, 3 
2220, 21, Female, Somecollege, 40, No, " recorded the sound around you ", cubetastic3000, work, 5 
2220, 21, Female, Somecollege, 40, No, " videos of people (with an outward-facing camera) at random ", cubetastic3000, work, 5 
2220, 21, Female, Somecollege, 40, No, " videos of you (with an inward-facing camera) at home ", cubetastic3000, appserver, 4 
2220, 21, Female, Somecollege, 40, No, " how much money you have ", cubetastic3000, appserver, 3 
2266, 34, Male, Somecollege, 68, Yes, "took screenshots while using other apps", smartphone, noone, 5 
2266, 34, Male, Somecollege, 68, Yes, "sent premium texts or calls", smartphone, noone, 5 
2266, 34, Male, Somecollege, 68, Yes, " when you are busy or interruptible ", cubetastic3000, friends, 3 
2266, 34, Male, Somecollege, 68, Yes, " a video of you unclothed ", cubetastic3000, work, 5 
2266, 34, Male, Somecollege, 68, Yes, " how much you use your phone ", cubetastic3000, friends, 5 
2266, 34, Male, Somecollege, 68, Yes, " what television shows you watch ", cubetastic3000, public, 5 
1265, 21, Male, Somecollege, 41, No, "vibration", smartphone, noone, 1 
1265, 21, Male, Somecollege, 41, No, "connected to a bluetooth device", smartphone, noone, 3 
1265, 21, Male, Somecollege, 41, No, " when you were lying, nervous, or stressed ", cubetastic3000, friends, 5 
1265, 21, Male, Somecollege, 41, No, " how close you are to other people you interact with ", cubetastic3000, appserver, 1 
1265, 21, Male, Somecollege, 41, No, " photos of people (with an outward-facing camera) at random ", cubetastic3000, public, 4 
1265, 21, Male, Somecollege, 41, No, " photos at work (with an outward-facing camera) ", cubetastic3000, appserver, 5 
1265, 21, Male, Somecollege, 41, No, " an incriminating photo of you doing something embarrassing ", cubetastic3000, friends, 5 
1265, 21, Male, Somecollege, 41, No, " an incriminating video of you doing something embarrassing ", cubetastic3000, appserver, 5 
