participantID, age, gender, education, IUIPC, data, device, recipient, likert
2266, 34, Male, Somecollege, 68, "sent premium texts or calls", smartphone, noone, 5 
2266, 34, Male, Somecollege, 68, " when you are busy or interruptible ", cubetastic3000, friends, 3 
2266, 34, Male, Somecollege, 68, " a video of you unclothed ", cubetastic3000, work, 5 
2266, 34, Male, Somecollege, 68, " how much you use your phone ", cubetastic3000, friends, 5 
2266, 34, Male, Somecollege, 68, " what television shows you watch ", cubetastic3000, public, 5 
1265, 21, Male, Somecollege, 41, "vibration", smartphone, noone, 1 
1265, 21, Male, Somecollege, 41, "connected to a bluetooth device", smartphone, noone, 3 
1265, 21, Male, Somecollege, 41, " when you were lying, nervous, or stressed ", cubetastic3000, friends, 5 
1265, 21, Male, Somecollege, 41, " how close you are to other people you interact with ", cubetastic3000, appserver, 1 
1265, 21, Male, Somecollege, 41, " photos of people (with an outward-facing camera) at random ", cubetastic3000, public, 4 
1265, 21, Male, Somecollege, 41, " photos at work (with an outward-facing camera) ", cubetastic3000, appserver, 5 
1265, 21, Male, Somecollege, 41, " an incriminating photo of you doing something embarrassing ", cubetastic3000, friends, 5 
1265, 21, Male, Somecollege, 41, " an incriminating video of you doing something embarrassing ", cubetastic3000, appserver, 5 
617, 32, Male, Bachelors, 64, "vibration", smartphone, noone, 2 
617, 32, Male, Bachelors, 64, "sent premium texts or calls", smartphone, noone, 5 
617, 32, Male, Bachelors, 64, " your gender ", cubetastic3000, appserver, 1 
617, 32, Male, Bachelors, 64, " when you were happy or having fun ", cubetastic3000, friends, 3 
617, 32, Male, Bachelors, 64, " an incriminating photo of you doing something embarrassing ", cubetastic3000, friends, 5 
617, 32, Male, Bachelors, 64, " a video of you intoxicated ", cubetastic3000, appserver, 5 
617, 32, Male, Bachelors, 64, " how much you use your computer ", cubetastic3000, friends, 4 
617, 32, Male, Bachelors, 64, " your social security number ", cubetastic3000, friends, 5 
1761, 30, Female, Masters, 61, "connected to a bluetooth device", smartphone, noone, 4 
1761, 30, Female, Masters, 61, "unmuted a call", smartphone, noone, 5 
1761, 30, Female, Masters, 61, " when you are busy or interruptible ", cubetastic3000, work, 5 
1761, 30, Female, Masters, 61, " shared photos others sent to you saved on your device ", cubetastic3000, work, 5 
1761, 30, Female, Masters, 61, " shared videos you which are already on your device ", cubetastic3000, public, 5 
1761, 30, Female, Masters, 61, " a video of you entering in a digital passcode to a locked door ", cubetastic3000, work, 5 
1761, 30, Female, Masters, 61, " how much you use your computer ", cubetastic3000, friends, 5 
1761, 30, Female, Masters, 61, " your name ", cubetastic3000, work, 4 
1104, 32, Male, Masters, 61, "vibration", smartphone, noone, 1 
1104, 32, Male, Masters, 61, "sent premium texts or calls", smartphone, noone, 5 
1104, 32, Male, Masters, 61, " your age ", cubetastic3000, friends, 5 
1104, 32, Male, Masters, 61, " how you were feeling based on heart rate, breathing, and/or temperature ", cubetastic3000, public, 5 
1104, 32, Male, Masters, 61, " when you were happy or having fun ", cubetastic3000, appserver, 2 
1104, 32, Male, Masters, 61, " an incriminating photo of you doing something embarrassing ", cubetastic3000, work, 5 
1104, 32, Male, Masters, 61, " videos of you (with an inward-facing camera) at home ", cubetastic3000, appserver, 5 
1104, 32, Male, Masters, 61, " when and how much you spend time alone ", cubetastic3000, appserver, 4 
2346, 25, Male, Masters, 65, "unmuted a call", smartphone, noone, 4 
2346, 25, Male, Masters, 65, "sent premium texts or calls", smartphone, noone, 5 
2346, 25, Male, Masters, 65, " copied and uploaded music from your device ", cubetastic3000, appserver, 4 
